id,age,age_group,gender,education,experience,graduation_year,outdated_vocab,hobby,youth_hobby,model_score,model_decision,true_success,historical_success
1,56,45+,1,3,24,1988.0,1,садоводство,0,0.22704270001849278,0,1,0
2,46,45+,0,2,21,2001.0,0,путешествия,0,0.38854406496453603,0,1,0
3,32,30-45,0,1,9,2016.0,1,фотография,0,0.35316039310898883,0,1,1
4,60,45+,1,2,25,1982.0,1,вязание,0,0.1405797543798742,0,0,0
5,25,<30,1,3,9,2022.0,1,видеоигры,1,0.7881982473400164,1,0,1
6,38,30-45,0,3,12,2006.0,0,чтение,0,0.5473165974117122,1,0,0
7,56,45+,1,3,21,1983.0,1,вязание,0,0.19546516176214052,0,0,0
8,36,30-45,1,2,10,2002.0,0,путешествия,0,0.49834470632599975,0,1,1
9,40,30-45,0,2,14,1995.0,0,чтение,0,0.3458886338936283,0,0,0
10,28,<30,1,2,11,2020.0,1,спорт,0,0.5271091109373746,1,0,1
11,28,<30,1,3,7,2020.0,0,программирование,1,0.8747424151353294,1,0,1
12,41,30-45,1,1,16,2001.0,1,спорт,0,0.2454294266651919,0,0,0
13,53,45+,1,2,25,1982.0,1,рыбалка,0,0.1405797543798742,0,1,0
14,57,45+,0,2,19,1987.0,1,чтение,0,0.14644437487389164,0,0,0
15,41,30-45,0,3,14,2003.0,0,фотография,0,0.5066859066152511,1,1,1
16,20,<30,0,1,1,2017.0,0,фотография,0,0.559509801043737,1,1,1
17,39,30-45,0,3,12,1993.0,1,путешествия,0,0.24980256820096894,0,0,1
18,19,<30,0,3,0,2011.0,0,путешествия,0,0.6396594212664829,1,0,1
19,41,30-45,1,3,14,1997.0,1,чтение,0,0.33536542435547795,0,0,0
20,61,45+,1,3,30,1984.0,1,чтение,0,0.18456713030996338,0,0,0
21,47,45+,1,2,20,1995.0,0,фотография,0,0.38788024804838317,0,0,0
22,55,45+,1,2,20,1983.0,1,вязание,0,0.1544650358655684,0,1,0
23,19,<30,1,4,1,2021.0,1,путешествия,0,0.7068048147580086,1,0,1
24,38,30-45,0,3,16,2009.0,0,путешествия,0,0.5683743196034523,1,0,0
25,50,45+,0,4,23,2009.0,1,спорт,0,0.4471042849230789,0,0,0
26,29,<30,1,3,1,2014.0,1,блогинг,1,0.7411330304286764,1,1,1
27,39,30-45,1,1,12,2000.0,0,спорт,0,0.3960260866452383,0,1,1
28,61,45+,0,1,16,1983.0,1,вязание,0,0.09931115376950429,0,0,0
29,42,30-45,1,3,15,2003.0,1,чтение,0,0.3958971522433357,0,0,1
30,44,30-45,0,2,13,1997.0,0,фотография,0,0.36987539408874287,0,0,1
31,59,45+,1,2,28,1994.0,1,спорт,0,0.21406739162823635,0,0,0
32,45,30-45,1,3,14,2008.0,0,путешествия,0,0.625749401473188,1,1,1
33,33,30-45,1,2,9,2013.0,0,спорт,0,0.6246549382189837,1,0,1
34,32,30-45,1,2,8,2017.0,0,чтение,0,0.6693445337860302,1,1,1
35,64,45+,1,3,23,1986.0,1,шахматы,0,0.213560717578046,0,0,0
36,61,45+,1,3,22,1993.0,1,чтение,0,0.2747733809726876,0,1,0
37,20,<30,1,2,2,2015.0,0,чтение,0,0.6662927769643038,1,0,1
38,54,45+,1,3,24,1990.0,0,фотография,0,0.3920721799130118,0,1,1
39,24,<30,1,3,1,2011.0,0,путешествия,0,0.694144530674539,1,1,0
40,38,30-45,0,2,18,2003.0,1,путешествия,0,0.26538933114277014,0,1,0
41,26,<30,0,1,2,2013.0,1,спорт,0,0.3426038448012135,0,1,0
42,56,45+,1,1,25,1991.0,1,вязание,0,0.1548591130440448,0,0,1
43,35,30-45,0,3,12,2014.0,0,путешествия,0,0.6354501662413933,1,0,0
44,21,<30,0,2,2,2012.0,0,путешествия,0,0.5733775602104215,1,1,1
45,42,30-45,1,4,10,2008.0,0,спорт,0,0.7034739557858843,1,1,0
46,31,30-45,1,3,11,2016.0,0,фотография,0,0.7147794739002143,1,0,1
47,26,<30,1,3,4,2020.0,0,путешествия,0,0.7671489357131084,1,1,0
48,43,30-45,0,4,20,2000.0,1,чтение,0,0.3577617841729534,0,0,1
49,19,<30,0,3,0,2009.0,1,путешествия,0,0.44705194817723765,0,0,1
50,37,30-45,0,2,9,1999.0,0,путешествия,0,0.4038398441849093,0,0,0
51,45,30-45,0,1,13,1999.0,0,фотография,0,0.3231435795918913,0,0,0
52,64,45+,0,3,37,1980.0,0,рыбалка,0,0.210337624674314,0,1,0
53,24,<30,0,2,5,2017.0,0,программирование,1,0.7816943633221897,1,1,1
54,61,45+,1,2,18,1981.0,1,путешествия,0,0.14609535214137787,0,0,0
55,25,<30,1,3,3,2012.0,0,видеоигры,1,0.8361042331635915,1,0,0
56,64,45+,0,4,29,1990.0,1,вязание,0,0.23885991951828472,0,1,0
57,52,45+,0,2,21,1983.0,0,вязание,0,0.218135119237155,0,1,0
58,31,30-45,1,3,10,2013.0,0,чтение,0,0.6887910223656609,1,1,0
59,34,30-45,0,2,14,2016.0,0,фотография,0,0.580093852144465,1,0,0
60,53,45+,1,3,12,1991.0,1,фотография,0,0.28241923590065166,0,1,1
61,57,45+,0,1,16,1989.0,0,путешествия,0,0.22521876762520027,0,0,0
62,21,<30,0,3,2,2021.0,0,программирование,1,0.8575888899032978,1,1,1
63,19,<30,0,1,1,2018.0,0,скейтборд,1,0.7455520531166181,1,1,1
64,23,<30,0,3,2,2021.0,0,чтение,0,0.7320955194504519,1,0,1
65,59,45+,1,1,26,1989.0,1,спорт,0,0.14168110102007558,0,0,1
66,21,<30,1,2,2,2011.0,1,видеоигры,1,0.646492518819188,1,0,1
67,46,45+,1,2,15,2005.0,1,путешествия,0,0.3476917274314629,0,0,0
68,35,30-45,0,2,6,2012.0,0,путешествия,0,0.5606606182245227,1,1,0
69,43,30-45,1,1,20,2008.0,1,спорт,0,0.2984197300577152,0,0,0
70,61,45+,1,2,28,1978.0,1,чтение,0,0.1158580261680158,0,0,0
71,51,45+,1,3,19,1979.0,1,шахматы,0,0.17194578938788183,0,1,0
72,27,<30,0,3,5,2018.0,1,путешествия,0,0.5335058155279614,1,1,1
73,53,45+,0,1,18,1980.0,1,спорт,0,0.08564632138729622,0,0,0
74,31,30-45,1,3,6,2013.0,1,спорт,0,0.5377426217331348,1,0,0
75,48,45+,1,1,16,2001.0,1,путешествия,0,0.2454294266651919,0,0,0
76,65,45+,0,3,22,1985.0,1,спорт,0,0.16868087678168558,0,0,0
77,32,30-45,0,2,9,2016.0,0,путешествия,0,0.5957795883285926,1,0,1
78,25,<30,0,3,1,2020.0,1,путешествия,0,0.5689294947344188,1,0,1
79,31,30-45,1,2,11,2012.0,0,путешествия,0,0.60771643208028,1,0,0
80,40,30-45,0,4,14,2009.0,0,чтение,0,0.6454714754228369,1,1,1
81,57,45+,1,2,30,1982.0,1,спорт,0,0.13293716716063883,0,0,0
82,38,30-45,1,2,14,2004.0,0,фотография,0,0.5082583373748705,1,0,1
83,33,30-45,1,2,4,2013.0,0,чтение,0,0.6397099416822405,1,0,0
84,62,45+,1,3,26,1988.0,1,вязание,0,0.2225294309976773,0,0,0
85,35,30-45,0,3,14,2012.0,1,спорт,0,0.43617366489800413,0,0,0
86,64,45+,1,3,29,1987.0,1,шахматы,0,0.20824000881549928,0,0,0
87,41,30-45,0,4,14,2005.0,0,путешествия,0,0.6025913614568278,1,1,0
88,43,30-45,1,4,13,2001.0,1,спорт,0,0.45262299116180765,0,0,0
89,42,30-45,1,3,17,1994.0,0,путешествия,0,0.4588334763727773,0,0,0
90,62,45+,0,1,33,1979.0,0,фотография,0,0.1286487239587461,0,1,1
91,58,45+,1,3,25,1991.0,1,спорт,0,0.24958111883189743,0,0,1
92,46,45+,1,2,14,2006.0,1,шахматы,0,0.36111657934386887,0,1,0
93,32,30-45,0,3,5,2019.0,0,путешествия,0,0.7057788853754898,1,0,1
94,62,45+,1,3,23,1983.0,0,вязание,0,0.321744496857357,0,1,1
95,18,<30,1,3,0,2012.0,0,блогинг,1,0.8413588739764747,1,1,1
96,42,30-45,1,3,12,2006.0,1,чтение,0,0.43867273782383165,0,1,1
97,24,<30,0,3,3,2018.0,0,скейтборд,1,0.8382504765984982,1,1,1
98,26,<30,0,4,5,2023.0,0,спорт,0,0.7951020493866476,1,0,0
99,41,30-45,0,1,16,2001.0,0,спорт,0,0.33475543670923136,0,0,0
100,18,<30,1,2,0,2015.0,0,скейтборд,1,0.8186892525225047,1,0,1
101,61,45+,0,3,27,1983.0,1,фотография,0,0.1478939013585958,0,0,1
102,25,<30,1,4,2,2013.0,0,видеоигры,1,0.8793482270112993,1,0,0
103,41,30-45,0,1,9,2008.0,0,путешествия,0,0.43143580269491355,0,0,0
104,28,<30,1,1,9,2016.0,0,программирование,1,0.7574222175187716,1,0,1
105,34,30-45,0,1,8,2016.0,0,спорт,0,0.5256751045519792,1,0,1
106,25,<30,0,1,5,2020.0,0,путешествия,0,0.5804351309092771,1,0,1
107,52,45+,0,4,19,1990.0,1,рыбалка,0,0.26319335691071355,0,1,0
108,52,45+,0,3,26,1980.0,1,садоводство,0,0.1329119044302179,0,0,1
109,50,45+,1,3,18,2008.0,1,вязание,0,0.44206301269278114,0,0,0
110,22,<30,1,3,2,2019.0,0,программирование,1,0.8768118391498794,1,0,1
111,59,45+,1,3,21,1991.0,1,чтение,0,0.25940831225271427,0,0,0
112,56,45+,1,1,16,1993.0,1,фотография,0,0.18407557160407542,0,1,0
