iter	Passed	Remaining
0	44	44166
1	68	34323
2	109	36502
3	134	33568
4	165	32876
5	195	32401
6	230	32748
7	270	33554
8	318	35086
9	349	34558
10	372	33526
11	405	33416
12	457	34738
13	503	35428
14	527	34664
15	568	34978
16	611	35375
17	677	36940
18	744	38435
19	781	38317
20	818	38163
21	858	38146
22	913	38792
23	953	38786
24	991	38672
25	1022	38314
26	1060	38210
27	1109	38525
28	1141	38226
29	1180	38179
30	1217	38043
31	1255	37991
32	1297	38007
33	1340	38098
34	1394	38450
35	1430	38316
36	1471	38307
37	1509	38225
38	1561	38469
39	1591	38203
40	1619	37888
41	1656	37779
42	1695	37734
43	1774	38544
44	1804	38305
45	1852	38418
46	1894	38419
47	1935	38393
48	1981	38448
49	2030	38581
50	2068	38484
51	2099	38282
52	2137	38183
53	2176	38124
54	2219	38142
55	2257	38060
56	2287	37837
57	2316	37627
58	2355	37567
59	2397	37554
60	2447	37680
61	2492	37706
62	2559	38067
63	2638	38582
64	2703	38887
65	2767	39163
66	2810	39133
67	2877	39436
68	2915	39344
69	2953	39245
70	2994	39175
71	3035	39126
72	3089	39228
73	3125	39107
74	3154	38904
75	3182	38695
76	3220	38607
77	3284	38826
78	3327	38796
79	3368	38734
80	3406	38651
81	3445	38575
82	3495	38614
83	3535	38553
84	3571	38446
85	3608	38349
86	3656	38373
87	3726	38615
88	3765	38545
89	3801	38434
90	3840	38360
91	3887	38371
92	3960	38626
93	3998	38540
94	4035	38448
95	4066	38288
96	4121	38372
97	4173	38413
98	4210	38322
99	4246	38217
100	4282	38116
101	4318	38017
102	4357	37946
103	4402	37926
104	4462	38041
105	4499	37949
106	4528	37792
107	4586	37881
108	4647	37987
109	4706	38083
110	4735	37929
111	4781	37911
112	4841	38002
113	4901	38094
114	4954	38127
115	4990	38030
116	5026	37932
117	5074	37929
118	5134	38011
119	5195	38100
120	5234	38027
121	5281	38006
122	5330	38007
123	5401	38161
124	5438	38071
125	5478	38002
126	5561	38227
127	5624	38319
128	5685	38389
129	5734	38379
130	5792	38423
131	5866	38574
132	5917	38573
133	5964	38548
134	6000	38449
135	6046	38412
136	6124	38582
137	6170	38543
138	6207	38448
139	6244	38358
140	6290	38320
141	6329	38246
142	6365	38151
143	6401	38054
144	6440	37979
145	6484	37932
146	6529	37891
147	6578	37871
148	6619	37808
149	6661	37750
150	6710	37730
151	6754	37684
152	6789	37588
153	6818	37460
154	6847	37328
155	6886	37255
156	6925	37187
157	6978	37188
158	7008	37069
159	7044	36985
160	7088	36937
161	7125	36861
162	7179	36866
163	7217	36789
164	7249	36685
165	7289	36621
166	7327	36551
167	7390	36599
168	7475	36758
169	7506	36651
170	7546	36583
171	7579	36487
172	7618	36418
173	7652	36325
174	7680	36210
175	7710	36101
176	7769	36127
177	7802	36032
178	7843	35974
179	7874	35871
180	7904	35768
181	7938	35679
182	7967	35569
183	7999	35475
184	8031	35382
185	8073	35333
186	8118	35297
187	8150	35205
188	8184	35118
189	8229	35084
190	8273	35044
191	8304	34949
192	8334	34850
193	8363	34747
194	8403	34690
195	8439	34621
196	8480	34567
197	8528	34545
198	8584	34552
199	8634	34539
200	8666	34452
201	8736	34512
202	8778	34466
203	8816	34402
204	8853	34332
205	8912	34353
206	8962	34333
207	8992	34241
208	9022	34146
209	9050	34047
210	9086	33976
211	9117	33890
212	9157	33833
213	9205	33811
214	9236	33722
215	9273	33658
216	9304	33571
217	9351	33545
218	9407	33547
219	9512	33724
220	9578	33763
221	9637	33775
222	9684	33745
223	9770	33846
224	9872	34005
225	9934	34023
226	10006	34076
227	10050	34032
228	10113	34051
229	10188	34108
230	10345	34439
231	10515	34810
232	10675	35142
233	10786	35309
234	10919	35547
235	11026	35694
236	11106	35755
237	11159	35729
238	11207	35687
239	11261	35662
240	11314	35634
241	11478	35953
242	11594	36119
243	11649	36095
244	11691	36030
245	11744	35998
246	11809	36001
247	11858	35958
248	11897	35884
249	11937	35813
250	12004	35823
251	12046	35755
252	12075	35652
253	12110	35569
254	12140	35468
255	12177	35391
256	12207	35292
257	12259	35256
258	12298	35185
259	12337	35114
260	12392	35087
261	12445	35055
262	12483	34981
263	12513	34885
264	12549	34806
265	12601	34771
266	12656	34747
267	12694	34672
268	12751	34652
269	12806	34624
270	12849	34564
271	12901	34531
272	12967	34531
273	12997	34439
274	13038	34374
275	13078	34308
276	13136	34288
277	13177	34222
278	13214	34148
279	13256	34087
280	13295	34020
281	13344	33976
282	13388	33921
283	13422	33839
284	13450	33743
285	13500	33702
286	13570	33712
287	13618	33668
288	13658	33602
289	13694	33527
290	13743	33484
291	13789	33435
292	13837	33389
293	13876	33322
294	13912	33247
295	13983	33258
296	14031	33212
297	14082	33173
298	14118	33101
299	14155	33028
300	14193	32959
301	14230	32890
302	14287	32866
303	14336	32822
304	14376	32760
305	14435	32740
306	14487	32702
307	14547	32684
308	14610	32671
309	14659	32628
310	14709	32588
311	14756	32541
312	14798	32481
313	14844	32430
314	14891	32383
315	14940	32339
316	14980	32277
317	15017	32208
318	15047	32122
319	15081	32048
320	15128	32000
321	15179	31962
322	15253	31969
323	15311	31945
324	15376	31936
325	15436	31914
326	15482	31865
327	15518	31793
328	15546	31706
329	15583	31639
330	15620	31571
331	15659	31507
332	15696	31441
333	15748	31402
334	15788	31342
335	15826	31276
336	15870	31222
337	15907	31155
338	15996	31191
339	16057	31170
340	16115	31143
341	16168	31107
342	16204	31039
343	16276	31039
344	16348	31039
345	16385	30970
346	16420	30900
347	16456	30831
348	16485	30750
349	16531	30702
350	16580	30657
351	16638	30630
352	16678	30568
353	16716	30505
354	16772	30474
355	16826	30438
356	16861	30370
357	16899	30305
358	16944	30255
359	17003	30229
360	17043	30169
361	17080	30102
362	17115	30035
363	17180	30018
364	17230	29975
365	17280	29933
366	17329	29889
367	17377	29843
368	17425	29798
369	17489	29780
370	17594	29829
371	17656	29807
372	17708	29767
373	17757	29723
374	17827	29713
375	17864	29646
376	17903	29585
377	17948	29534
378	17989	29475
379	18035	29425
380	18073	29362
381	18110	29299
382	18147	29235
383	18204	29203
384	18268	29182
385	18315	29133
386	18353	29071
387	18391	29008
388	18461	28997
389	18498	28932
390	18544	28884
391	18585	28826
392	18668	28834
393	18716	28787
394	18752	28722
395	18788	28657
396	18826	28595
397	18863	28532
398	18910	28484
399	18949	28424
400	18996	28376
401	19034	28314
402	19071	28252
403	19122	28211
404	19163	28153
405	19201	28093
406	19255	28055
407	19305	28011
408	19351	27962
409	19436	27969
410	19484	27923
411	19531	27874
412	19569	27813
413	19605	27751
414	19644	27691
415	19692	27645
416	19731	27586
417	19780	27540
418	19861	27540
419	19933	27527
420	19975	27472
421	20004	27399
422	20040	27336
423	20099	27305
424	20162	27278
425	20200	27219
426	20236	27155
427	20281	27105
428	20322	27049
429	20371	27004
430	20427	26968
431	20490	26941
432	20566	26931
433	20659	26943
434	20711	26901
435	20759	26853
436	20806	26805
437	20870	26779
438	20927	26743
439	20955	26670
440	20990	26606
441	21040	26561
442	21088	26515
443	21126	26455
444	21176	26411
445	21222	26361
446	21268	26311
447	21308	26255
448	21358	26210
449	21410	26168
450	21437	26096
451	21476	26037
452	21517	25981
453	21571	25943
454	21674	25962
455	21730	25923
456	21781	25880
457	21821	25823
458	21863	25769
459	21900	25708
460	21929	25639
461	21968	25582
462	22005	25522
463	22037	25456
464	22069	25391
465	22123	25351
466	22159	25291
467	22224	25263
468	22282	25228
469	22322	25172
470	22359	25112
471	22396	25053
472	22431	24992
473	22480	24946
474	22518	24889
475	22571	24848
476	22634	24816
477	22702	24792
478	22743	24737
479	22826	24728
480	22888	24696
481	22934	24647
482	22976	24593
483	23006	24527
484	23040	24466
485	23086	24417
486	23151	24387
487	23212	24353
488	23269	24316
489	23342	24295
490	23408	24267
491	23458	24221
492	23495	24162
493	23534	24106
494	23618	24095
495	23679	24061
496	23718	24005
497	23753	23944
498	23789	23884
499	23825	23825
500	23889	23794
501	23947	23756
502	23996	23710
503	24035	23653
504	24083	23606
505	24144	23571
506	24190	23522
507	24229	23466
508	24288	23429
509	24350	23395
510	24389	23339
511	24426	23281
512	24455	23215
513	24492	23158
514	24541	23112
515	24611	23084
516	24660	23038
517	24696	22980
518	24735	22924
519	24807	22899
520	24870	22865
521	24916	22816
522	24964	22768
523	25004	22713
524	25064	22677
525	25100	22618
526	25135	22560
527	25175	22505
528	25238	22470
529	25276	22414
530	25351	22391
531	25445	22384
532	25494	22337
533	25534	22283
534	25580	22233
535	25617	22176
536	25654	22118
537	25692	22063
538	25753	22027
539	25812	21988
540	25847	21929
541	25897	21884
542	25983	21868
543	26067	21850
544	26104	21794
545	26144	21738
546	26191	21690
547	26241	21644
548	26290	21597
549	26359	21566
550	26424	21533
551	26498	21505
552	26579	21484
553	26642	21448
554	26689	21399
555	26738	21352
556	26774	21294
557	26815	21241
558	26857	21187
559	26916	21148
560	26950	21089
561	26979	21027
562	27016	20970
563	27055	20915
564	27116	20877
565	27177	20839
566	27216	20784
567	27254	20728
568	27290	20671
569	27339	20624
570	27396	20583
571	27433	20527
572	27472	20472
573	27521	20425
574	27580	20385
575	27668	20367
576	27726	20326
577	27773	20277
578	27821	20229
579	27861	20175
580	27907	20126
581	27975	20092
582	28013	20037
583	28053	19983
584	28138	19961
585	28174	19904
586	28218	19854
587	28256	19798
588	28294	19743
589	28333	19689
590	28379	19639
591	28427	19591
592	28475	19543
593	28515	19490
594	28573	19449
595	28620	19400
596	28660	19347
597	28706	19297
598	28747	19245
599	28789	19193
600	28827	19138
601	28864	19083
602	28901	19028
603	28940	18973
604	28975	18917
605	29027	18872
606	29088	18833
607	29174	18809
608	29235	18770
609	29276	18717
610	29334	18676
611	29382	18627
612	29431	18580
613	29494	18541
614	29530	18486
615	29593	18447
616	29654	18407
617	29701	18358
618	29736	18303
619	29774	18248
620	29810	18193
621	29847	18138
622	29885	18085
623	29926	18032
624	29975	17985
625	30020	17935
626	30058	17881
627	30106	17833
628	30169	17794
629	30204	17738
630	30242	17685
631	30281	17632
632	30335	17587
633	30394	17546
634	30433	17493
635	30480	17444
636	30529	17397
637	30590	17357
638	30641	17310
639	30677	17256
640	30725	17208
641	30787	17168
642	30837	17121
643	30865	17062
644	30911	17013
645	30959	16965
646	30997	16911
647	31044	16863
648	31093	16816
649	31134	16764
650	31172	16711
651	31246	16677
652	31380	16675
653	31457	16642
654	31553	16619
655	31675	16610
656	31771	16587
