название,тип,номер_билета
Вселенная Островского,театр,1009505
Гарри Поттер. Симфонический саундтрек,концерт,1012896
Музыка в оранжерее Таврического сада,концерт,1022157
Вселенная Островского,театр,1092447
Фрида: невероятное желание жить!,театр,1093691
Мастер и Маргарита,театр,1111388
Лебединое озеро,театр,1168849
Ван Гог и Тео,выставка,1191067
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,1216488
Секреты Джузеппе Арчимбольдо,выставка,1279015
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,1283572
Фрида: невероятное желание жить!,театр,1311846
Вселенная Островского,театр,1356069
Мастер и Маргарита,театр,1400093
Green Apelsin,концерт,1503358
Фрида: невероятное желание жить!,театр,1533250
Green Apelsin,концерт,1719212
Вселенная Островского,театр,1778483
Гарри Поттер. Симфонический саундтрек,концерт,1851808
Музыка в оранжерее Таврического сада,концерт,1896670
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,1989069
Мастер и Маргарита,театр,2034856
Лебединое озеро,театр,2228765
Мастер и Маргарита,театр,2439037
Фрида: невероятное желание жить!,театр,2449925
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,2527440
Секреты Джузеппе Арчимбольдо,выставка,2539535
Музыка в оранжерее Таврического сада,концерт,2674225
Секреты Джузеппе Арчимбольдо,выставка,2725220
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,2769955
Гарри Поттер. Симфонический саундтрек,концерт,3202512
Вселенная Островского,театр,3544083
Фрида: невероятное желание жить!,театр,3593082
Вселенная Островского,театр,3634769
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,3794464
Вселенная Островского,театр,3838929
Музыка в оранжерее Таврического сада,концерт,3881654
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,3933906
Фрида: невероятное желание жить!,театр,4154446
Мастер и Маргарита,театр,4195402
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,4231315
Секреты Джузеппе Арчимбольдо,выставка,4562661
Мастер и Маргарита,театр,4624425
Мастер и Маргарита,театр,4653614
Фрида: невероятное желание жить!,театр,4661864
Green Apelsin,концерт,4862841
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,4926258
Лебединое озеро,театр,5052607
Музыка в оранжерее Таврического сада,концерт,5072740
Музыка в оранжерее Таврического сада,концерт,5117711
Мастер и Маргарита,театр,5174878
Мастер и Маргарита,театр,5198684
Green Apelsin,концерт,5212461
Фрида: невероятное желание жить!,театр,5223910
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,5240310
Секреты Джузеппе Арчимбольдо,выставка,5264150
Музыка в оранжерее Таврического сада,концерт,5269029
Green Apelsin,концерт,5308129
