название,тип,номер_билета
Секреты Джузеппе Арчимбольдо,выставка,1010421
Музыка в оранжерее Таврического сада,концерт,1022157
Секреты Джузеппе Арчимбольдо,выставка,1056545
Лебединое озеро,театр,1087386
Фрида: невероятное желание жить!,театр,1093691
Мастер и Маргарита,театр,1101495
Фрида: невероятное желание жить!,театр,1109748
Мастер и Маргарита,театр,1111388
Гарри Поттер. Симфонический саундтрек,концерт,1113358
Гарри Поттер. Симфонический саундтрек,концерт,1124375
Лебединое озеро,театр,1130344
Вселенная Островского,театр,1140794
Лебединое озеро,театр,1149066
Музыка в оранжерее Таврического сада,концерт,1153950
Лебединое озеро,театр,1168849
Ван Гог и Тео,выставка,1191067
Вселенная Островского,театр,1200877
Секреты Джузеппе Арчимбольдо,выставка,1202909
Мастер и Маргарита,театр,1228131
Секреты Джузеппе Арчимбольдо,выставка,1230860
Green Apelsin,концерт,1236463
Гарри Поттер. Симфонический саундтрек,концерт,1248731
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,1270753
Гарри Поттер. Симфонический саундтрек,концерт,1271610
Секреты Джузеппе Арчимбольдо,выставка,1279015
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,1283572
Музыка в оранжерее Таврического сада,концерт,1305672
Музыка в оранжерее Таврического сада,концерт,1338278
Гарри Поттер. Симфонический саундтрек,концерт,1339812
Мастер и Маргарита,театр,1342156
Вселенная Островского,театр,1356069
Музыка в оранжерее Таврического сада,концерт,1357123
Фрида: невероятное желание жить!,театр,1374878
Green Apelsin,концерт,1388871
Фрида: невероятное желание жить!,театр,1396980
Мастер и Маргарита,театр,1400093
Фрида: невероятное желание жить!,театр,1405354
Фрида: невероятное желание жить!,театр,1406767
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,1408770
Вселенная Островского,театр,1419096
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,1421226
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,1422829
Вселенная Островского,театр,1431592
Музыка в оранжерее Таврического сада,концерт,1447203
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,1483562
Секреты Джузеппе Арчимбольдо,выставка,1494086
Green Apelsin,концерт,1503358
Green Apelsin,концерт,1524919
Фрида: невероятное желание жить!,театр,1533250
Green Apelsin,концерт,1554697
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,1594110
Green Apelsin,концерт,1596405
Фрида: невероятное желание жить!,театр,1613278
Мастер и Маргарита,театр,1621200
Гарри Поттер. Симфонический саундтрек,концерт,1649226
Гарри Поттер. Симфонический саундтрек,концерт,1652928
Фрида: невероятное желание жить!,театр,1653582
Мастер и Маргарита,театр,1709607
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,1711254
Green Apelsin,концерт,1719212
Мастер и Маргарита,театр,1734939
Гарри Поттер. Симфонический саундтрек,концерт,1738794
Лебединое озеро,театр,1748680
Мастер и Маргарита,театр,1780424
Секреты Джузеппе Арчимбольдо,выставка,1816414
Гарри Поттер. Симфонический саундтрек,концерт,1851808
Green Apelsin,концерт,1862498
Green Apelsin,концерт,1882744
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,1884971
Green Apelsin,концерт,1904349
Вселенная Островского,театр,1909992
Green Apelsin,концерт,2004138
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,2012513
Green Apelsin,концерт,2040390
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,2052383
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,2070385
Музыка в оранжерее Таврического сада,концерт,2124958
Секреты Джузеппе Арчимбольдо,выставка,2126284
Лебединое озеро,театр,2141498
Гарри Поттер. Симфонический саундтрек,концерт,2145463
Музыка в оранжерее Таврического сада,концерт,2150543
Музыка в оранжерее Таврического сада,концерт,2152472
Green Apelsin,концерт,2161243
Green Apelsin,концерт,2166170
Лебединое озеро,театр,2228765
Фрида: невероятное желание жить!,театр,2232815
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,2243781
Музыка в оранжерее Таврического сада,концерт,2250638
Ван Гог и Тео,выставка,2266775
Музыка в оранжерее Таврического сада,концерт,2269394
Гарри Поттер. Симфонический саундтрек,концерт,2271351
Мастер и Маргарита,театр,2292915
Гарри Поттер. Симфонический саундтрек,концерт,2293266
Вселенная Островского,театр,2419979
Лебединое озеро,театр,2434877
Мастер и Маргарита,театр,2439037
Фрида: невероятное желание жить!,театр,2449925
«Времена года» Вивальди и Пьяццоллa при свечах,концерт,2478529
